time,transactions,batch_throughput_TPS,avg_tx_duration_ms
738, 100, 28.90, 34.61
742, 100, 28.57, 35.06
745, 100, 28.81, 34.79
749, 100, 28.65, 34.98
752, 100, 28.81, 34.76
756, 100, 28.90, 34.65
759, 100, 28.49, 35.10
762, 100, 28.98, 34.55
766, 100, 28.98, 34.52
769, 100, 28.65, 34.97
773, 100, 28.81, 34.70
776, 100, 29.15, 34.39
780, 100, 29.32, 34.14
783, 100, 29.06, 34.46
787, 100, 28.32, 35.30
790, 100, 29.06, 34.42
794, 100, 28.73, 34.88
797, 100, 29.15, 34.30
801, 100, 24.03, 41.65
805, 100, 24.09, 41.56
809, 100, 28.98, 34.55
812, 100, 29.06, 34.44
816, 100, 28.81, 34.70
819, 100, 28.98, 34.52
823, 100, 28.81, 34.70
826, 100, 29.32, 34.15
830, 100, 29.06, 34.41
833, 100, 29.23, 34.22
837, 100, 29.06, 34.43
840, 100, 29.23, 34.28
843, 100, 28.98, 34.52
847, 100, 29.15, 34.32
850, 100, 28.81, 34.72
854, 100, 28.90, 34.60
857, 100, 28.98, 34.56
861, 100, 29.23, 34.27
864, 100, 28.90, 34.62
868, 100, 28.98, 34.50
871, 100, 28.49, 35.17
875, 100, 29.06, 34.49
878, 100, 28.90, 34.62
882, 100, 29.32, 34.18
885, 100, 29.32, 34.19
888, 100, 28.57, 35.08
892, 100, 29.41, 34.09
895, 100, 29.15, 34.39
899, 100, 29.15, 34.35
902, 100, 29.06, 34.42
906, 100, 28.90, 34.68
909, 100, 29.06, 34.41
913, 100, 25.51, 39.24
917, 100, 24.33, 41.14
921, 100, 28.90, 34.62
924, 100, 28.90, 34.69
928, 100, 29.23, 34.24
931, 100, 29.23, 34.26
934, 100, 28.65, 34.96
938, 100, 28.98, 34.52
941, 100, 29.06, 34.43
945, 100, 29.49, 33.97
948, 100, 29.06, 34.40
952, 100, 28.57, 35.08
955, 100, 28.57, 35.01
959, 100, 28.49, 35.15
962, 100, 29.41, 34.01
966, 100, 29.41, 34.07
969, 100, 28.65, 34.91
973, 100, 29.15, 34.32
976, 100, 28.98, 34.56
979, 100, 28.98, 34.51
983, 100, 28.90, 34.60
986, 100, 28.98, 34.59
990, 100, 28.81, 34.70
993, 100, 28.90, 34.60
997, 100, 29.41, 34.07
1000, 100, 28.73, 34.83
1004, 100, 29.06, 34.42
1007, 100, 29.15, 34.32
1011, 100, 28.98, 34.54
1014, 100, 29.15, 34.33
1017, 100, 28.98, 34.59
1021, 100, 29.15, 34.38
1025, 100, 24.63, 40.69
1029, 100, 23.41, 42.75
1033, 100, 29.41, 34.08
1036, 100, 28.98, 34.57
1040, 100, 28.40, 35.29
1043, 100, 28.98, 34.52
1047, 100, 28.98, 34.57
1050, 100, 28.90, 34.61
1054, 100, 29.15, 34.33
1057, 100, 29.06, 34.47
1060, 100, 29.32, 34.16
1064, 100, 28.81, 34.78
1067, 100, 28.81, 34.74
1071, 100, 29.15, 34.31
1074, 100, 28.81, 34.73
1078, 100, 29.15, 34.33
1081, 100, 28.98, 34.58
1085, 100, 28.90, 34.67
1088, 100, 29.06, 34.47
1092, 100, 28.90, 34.64
1095, 100, 29.06, 34.43
1098, 100, 29.41, 34.07
1102, 100, 28.49, 35.17
1105, 100, 28.81, 34.70
1109, 100, 29.23, 34.24
1112, 100, 28.81, 34.78
1116, 100, 28.90, 34.66
1119, 100, 29.06, 34.47
1123, 100, 29.41, 34.03
1126, 100, 28.73, 34.83
1130, 100, 29.32, 34.14
1133, 100, 28.65, 34.93
1137, 100, 25.77, 38.87
1141, 100, 23.69, 42.27
1145, 100, 26.45, 37.82
1148, 100, 28.90, 34.60
1152, 100, 29.67, 33.75
1155, 100, 28.90, 34.67
1159, 100, 29.15, 34.31
1162, 100, 28.98, 34.52
1166, 100, 28.57, 35.03
1169, 100, 29.06, 34.49
1173, 100, 29.15, 34.39
1176, 100, 29.32, 34.11
1180, 100, 28.49, 35.10
1183, 100, 29.32, 34.18
1187, 100, 28.57, 35.09
1190, 100, 29.06, 34.47
1193, 100, 29.41, 34.08
1197, 100, 28.98, 34.54
1200, 100, 29.06, 34.42
1204, 100, 29.41, 34.08
1207, 100, 28.81, 34.72
1211, 100, 29.06, 34.44
1214, 100, 28.98, 34.59
1218, 100, 28.40, 35.27
1221, 100, 29.06, 34.45
1225, 100, 28.98, 34.54
1228, 100, 29.15, 34.31
1231, 100, 28.57, 35.04
1235, 100, 28.90, 34.65
1238, 100, 29.06, 34.43
1242, 100, 28.90, 34.65
1245, 100, 28.90, 34.62
1249, 100, 28.24, 35.46
1253, 100, 22.88, 43.73
1257, 100, 25.18, 39.76
1261, 100, 29.23, 34.24
1264, 100, 28.90, 34.60
1268, 100, 29.06, 34.47
1271, 100, 28.49, 35.14
1275, 100, 27.17, 36.88
1278, 100, 27.85, 35.96
1282, 100, 27.32, 36.65
1286, 100, 28.24, 35.47
1289, 100, 27.77, 36.09
1293, 100, 29.32, 34.13
1296, 100, 29.06, 34.45
1300, 100, 28.24, 35.43
1303, 100, 28.16, 35.50
1307, 100, 28.01, 35.76
1310, 100, 27.32, 36.68
1314, 100, 28.40, 35.29
1318, 100, 27.39, 36.51
1321, 100, 27.47, 36.44
1325, 100, 28.16, 35.59
1328, 100, 28.65, 34.95
1332, 100, 28.01, 35.73
1336, 100, 27.93, 35.84
1339, 100, 28.40, 35.20
1343, 100, 28.57, 35.00
1346, 100, 28.32, 35.36
1350, 100, 28.40, 35.22
1353, 100, 27.62, 36.23
1357, 100, 28.57, 35.03
1360, 100, 28.32, 35.33
1365, 100, 23.80, 42.07
1369, 100, 23.98, 41.74
1372, 100, 28.32, 35.38
1376, 100, 28.24, 35.40
1379, 100, 28.08, 35.63
1383, 100, 28.24, 35.42
1386, 100, 28.40, 35.24
1390, 100, 28.57, 35.00
1394, 100, 28.08, 35.69
1397, 100, 28.65, 34.90
1401, 100, 28.32, 35.32
1404, 100, 27.85, 35.94
1408, 100, 27.93, 35.84
1411, 100, 28.16, 35.50
1415, 100, 28.08, 35.66
1419, 100, 27.93, 35.81
1422, 100, 28.01, 35.78
1426, 100, 26.45, 37.88
1430, 100, 27.77, 36.00
1433, 100, 28.40, 35.22
1437, 100, 28.24, 35.45
1440, 100, 28.16, 35.59
1444, 100, 28.81, 34.74
1447, 100, 28.16, 35.54
1451, 100, 28.65, 34.90
1454, 100, 29.23, 34.25
1458, 100, 28.73, 34.87
1461, 100, 28.40, 35.25
1465, 100, 28.90, 34.61
1468, 100, 28.73, 34.85
1472, 100, 28.73, 34.80
1475, 100, 26.04, 38.49
1480, 100, 23.14, 43.27
1484, 100, 25.38, 39.45
1487, 100, 28.73, 34.86
1491, 100, 28.90, 34.62
1494, 100, 28.32, 35.36
1498, 100, 28.90, 34.69
1501, 100, 28.81, 34.74
1505, 100, 29.06, 34.44
1508, 100, 28.57, 35.00
1512, 100, 29.15, 34.36
1515, 100, 28.57, 35.04
1519, 100, 28.57, 35.08
1522, 100, 28.24, 35.48
1526, 100, 28.98, 34.57
1529, 100, 29.41, 34.02
1533, 100, 28.57, 35.08
1536, 100, 28.57, 35.02
1540, 100, 28.01, 35.77
1543, 100, 28.40, 35.26
1547, 100, 28.98, 34.56
1550, 100, 28.90, 34.62
1554, 100, 28.73, 34.83
1557, 100, 28.49, 35.18
1561, 100, 28.24, 35.43
1564, 100, 28.57, 35.00
1568, 100, 28.90, 34.63
1571, 100, 28.65, 34.96
1575, 100, 28.73, 34.80
1578, 100, 28.90, 34.66
1582, 100, 28.16, 35.59
1585, 100, 28.57, 35.03
1589, 100, 27.62, 36.23
1593, 100, 23.09, 43.32
1597, 100, 25.00, 40.04
1601, 100, 28.49, 35.16
1604, 100, 28.90, 34.67
1608, 100, 28.73, 34.84
1611, 100, 28.90, 34.69
1615, 100, 28.90, 34.67
1618, 100, 28.57, 35.03
1622, 100, 28.98, 34.59
1625, 100, 28.49, 35.14
1629, 100, 28.81, 34.74
1632, 100, 28.57, 35.03
1636, 100, 28.32, 35.34
1639, 100, 28.98, 34.57
1643, 100, 28.49, 35.16
1646, 100, 28.98, 34.51
1649, 100, 29.23, 34.24
1653, 100, 28.73, 34.81
1656, 100, 28.73, 34.85
1660, 100, 28.49, 35.13
1663, 100, 28.49, 35.10
1667, 100, 28.73, 34.83
1671, 100, 28.40, 35.27
1674, 100, 28.24, 35.46
1678, 100, 28.90, 34.61
1681, 100, 28.49, 35.19
1685, 100, 28.98, 34.50
1688, 100, 28.90, 34.66
