time,transactions,batch_throughput_TPS,avg_tx_duration_ms
5, 100, 24.27, 41.26
9, 100, 22.52, 44.45
13, 100, 23.80, 42.02
18, 100, 23.47, 42.64
22, 100, 23.47, 42.63
26, 100, 23.98, 41.76
30, 100, 23.64, 42.32
35, 100, 23.58, 42.40
39, 100, 24.03, 41.67
43, 100, 23.80, 42.01
47, 100, 23.52, 42.58
52, 100, 23.69, 42.25
56, 100, 23.25, 43.06
60, 100, 23.58, 42.48
64, 100, 23.47, 42.60
69, 100, 23.69, 42.23
73, 100, 23.64, 42.38
77, 100, 23.31, 42.93
81, 100, 23.36, 42.86
86, 100, 23.25, 43.03
90, 100, 24.03, 41.65
94, 100, 23.41, 42.74
98, 100, 23.47, 42.66
103, 100, 23.25, 43.05
107, 100, 23.69, 42.25
111, 100, 23.64, 42.32
115, 100, 23.92, 41.80
120, 100, 23.09, 43.35
124, 100, 23.69, 42.28
129, 100, 21.05, 47.52
134, 100, 19.56, 51.11
138, 100, 23.14, 43.21
142, 100, 23.41, 42.70
147, 100, 23.75, 42.12
151, 100, 23.47, 42.61
155, 100, 23.36, 42.85
159, 100, 24.27, 41.27
164, 100, 22.88, 43.70
168, 100, 23.69, 42.28
172, 100, 23.80, 42.08
176, 100, 23.47, 42.63
181, 100, 23.86, 41.96
185, 100, 23.69, 42.23
189, 100, 23.75, 42.17
193, 100, 23.58, 42.44
198, 100, 24.03, 41.61
202, 100, 23.64, 42.34
206, 100, 23.69, 42.23
210, 100, 23.20, 43.15
215, 100, 23.92, 41.80
219, 100, 23.47, 42.64
223, 100, 23.86, 41.99
227, 100, 22.93, 43.68
232, 100, 23.36, 42.80
236, 100, 23.52, 42.55
240, 100, 23.80, 42.02
245, 100, 19.37, 51.63
250, 100, 20.79, 48.17
254, 100, 23.47, 42.67
259, 100, 24.03, 41.66
263, 100, 23.09, 43.38
267, 100, 23.14, 43.28
271, 100, 23.86, 41.93
276, 100, 23.52, 42.55
280, 100, 23.41, 42.75
284, 100, 24.27, 41.29
288, 100, 23.31, 42.95
293, 100, 23.36, 42.82
297, 100, 23.75, 42.11
301, 100, 23.69, 42.27
305, 100, 23.31, 42.94
310, 100, 23.25, 43.07
314, 100, 23.31, 42.96
318, 100, 23.58, 42.44
323, 100, 23.31, 42.96
327, 100, 23.52, 42.53
331, 100, 23.31, 42.95
336, 100, 23.41, 42.75
340, 100, 23.80, 42.05
344, 100, 22.27, 44.94
348, 100, 24.09, 41.54
353, 100, 23.14, 43.26
358, 100, 19.80, 50.58
363, 100, 19.92, 50.24
367, 100, 23.25, 43.09
371, 100, 23.47, 42.64
376, 100, 23.69, 42.23
380, 100, 23.64, 42.32
384, 100, 23.09, 43.32
388, 100, 23.41, 42.71
393, 100, 23.47, 42.64
397, 100, 23.75, 42.18
401, 100, 23.98, 41.77
405, 100, 23.25, 43.05
410, 100, 23.14, 43.27
414, 100, 23.69, 42.20
418, 100, 24.03, 41.69
422, 100, 23.80, 42.09
427, 100, 23.80, 42.08
431, 100, 23.58, 42.49
435, 100, 23.86, 41.96
439, 100, 23.64, 42.39
