time,transactions,batch_throughput_TPS,avg_tx_duration_ms
1318, 100, 29.15, 34.38
1322, 100, 30.21, 33.10
1325, 100, 31.05, 32.24
1328, 100, 30.39, 32.98
1331, 100, 30.30, 33.01
1335, 100, 31.15, 32.17
1338, 100, 30.48, 32.87
1375, 100, 2.71, 369.09
1378, 100, 29.85, 33.58
1381, 100, 30.95, 32.36
1385, 100, 30.39, 32.95
1388, 100, 29.85, 33.57
1391, 100, 31.25, 32.07
1395, 100, 30.86, 32.47
1435, 100, 2.48, 402.06
1438, 100, 28.98, 34.50
1442, 100, 30.21, 33.10
1445, 100, 30.58, 32.71
1448, 100, 30.21, 33.10
1451, 100, 30.67, 32.62
1455, 100, 30.58, 32.75
1458, 100, 30.21, 33.17
1495, 100, 2.72, 367.64
1498, 100, 29.49, 33.92
1501, 100, 31.15, 32.17
1505, 100, 30.76, 32.54
1508, 100, 30.39, 32.94
1511, 100, 30.39, 32.98
1514, 100, 30.95, 32.34
1543, 100, 3.50, 285.53
1547, 100, 28.57, 35.06
1550, 100, 30.21, 33.10
1553, 100, 31.05, 32.20
1557, 100, 29.41, 34.06
1560, 100, 30.21, 33.10
1563, 100, 30.58, 32.77
1566, 100, 30.21, 33.13
1570, 100, 30.30, 33.01
1573, 100, 31.05, 32.29
1576, 100, 29.15, 34.34
1580, 100, 30.39, 32.95
1583, 100, 31.15, 32.14
1586, 100, 28.40, 35.25
1590, 100, 30.86, 32.45
1593, 100, 30.67, 32.61
1596, 100, 30.30, 33.03
1600, 100, 30.12, 33.26
1603, 100, 31.25, 32.06
1606, 100, 30.12, 33.25
1609, 100, 30.39, 32.99
1613, 100, 30.86, 32.49
1616, 100, 30.21, 33.18
1619, 100, 30.58, 32.74
1623, 100, 30.48, 32.86
1626, 100, 30.39, 32.93
1629, 100, 30.76, 32.51
1632, 100, 30.86, 32.44
1636, 100, 30.30, 33.04
1639, 100, 30.67, 32.66
1642, 100, 30.95, 32.39
1646, 100, 29.94, 33.49
1649, 100, 31.05, 32.20
1652, 100, 30.86, 32.42
1655, 100, 29.85, 33.53
1659, 100, 30.67, 32.62
1662, 100, 31.15, 32.14
1665, 100, 30.12, 33.27
1669, 100, 30.39, 32.96
1672, 100, 30.86, 32.45
1675, 100, 29.67, 33.70
1678, 100, 30.67, 32.67
1682, 100, 31.05, 32.23
1685, 100, 30.95, 32.37
1688, 100, 31.25, 32.06
1692, 100, 28.40, 35.22
1695, 100, 30.21, 33.19
1698, 100, 30.48, 32.81
1702, 100, 30.95, 32.33
1735, 100, 3.00, 333.36
1738, 100, 30.12, 33.29
1741, 100, 31.05, 32.25
1745, 100, 31.15, 32.12
1748, 100, 30.48, 32.85
1751, 100, 30.76, 32.54
1754, 100, 30.95, 32.30
1758, 100, 30.58, 32.79
1795, 100, 2.69, 370.51
1798, 100, 28.81, 34.79
1802, 100, 29.49, 33.93
1805, 100, 31.15, 32.18
1808, 100, 30.58, 32.72
1811, 100, 30.39, 32.93
1815, 100, 31.15, 32.17
1855, 100, 2.49, 400.23
1858, 100, 30.67, 32.69
1861, 100, 30.48, 32.80
1865, 100, 30.03, 33.35
1868, 100, 30.21, 33.13
1871, 100, 30.39, 32.98
1875, 100, 30.58, 32.79
1878, 100, 30.30, 33.07
1915, 100, 2.70, 369.19
1918, 100, 29.49, 33.94
1921, 100, 30.21, 33.10
1925, 100, 30.76, 32.59
1928, 100, 30.12, 33.24
1931, 100, 30.67, 32.61
1935, 100, 30.12, 33.26
1938, 100, 30.48, 32.83
1960, 100, 4.64, 215.24
1963, 100, 30.12, 33.27
1966, 100, 29.76, 33.65
1969, 100, 30.67, 32.62
1973, 100, 30.12, 33.21
1976, 100, 30.12, 33.26
1979, 100, 30.76, 32.53
1983, 100, 29.32, 34.19
1986, 100, 29.85, 33.50
1989, 100, 30.39, 32.97
1993, 100, 29.94, 33.49
1996, 100, 30.86, 32.43
1999, 100, 30.21, 33.16
2003, 100, 30.30, 33.07
