time,transactions,batch_throughput_TPS,avg_tx_duration_ms
6, 100, 17.42, 57.45
12, 100, 17.03, 58.71
18, 100, 17.24, 58.04
23, 100, 17.12, 58.48
29, 100, 17.30, 57.83
35, 100, 17.09, 58.54
41, 100, 17.24, 58.02
47, 100, 17.03, 58.75
53, 100, 17.18, 58.26
60, 100, 13.86, 72.11
68, 100, 12.80, 78.12
76, 100, 12.64, 79.18
83, 100, 14.26, 70.12
88, 100, 17.27, 57.96
94, 100, 16.97, 58.96
100, 100, 17.15, 58.32
106, 100, 17.12, 58.46
112, 100, 17.09, 58.56
118, 100, 16.97, 58.90
124, 100, 17.36, 57.65
129, 100, 17.03, 58.78
135, 100, 17.36, 57.64
141, 100, 17.00, 58.83
147, 100, 16.97, 58.90
153, 100, 17.73, 56.42
158, 100, 17.18, 58.25
164, 100, 17.03, 58.70
170, 100, 17.54, 57.03
176, 100, 16.75, 59.76
182, 100, 17.27, 57.95
188, 100, 15.57, 64.22
196, 100, 13.00, 76.99
204, 100, 12.78, 78.22
212, 100, 12.83, 77.95
218, 100, 17.00, 58.83
223, 100, 17.33, 57.75
229, 100, 17.09, 58.59
235, 100, 17.06, 58.61
241, 100, 17.00, 58.85
247, 100, 17.42, 57.47
252, 100, 17.73, 56.48
258, 100, 16.89, 59.23
264, 100, 16.97, 58.95
270, 100, 17.45, 57.37
276, 100, 17.21, 58.18
282, 100, 17.24, 58.03
287, 100, 17.45, 57.35
293, 100, 17.45, 57.38
299, 100, 17.15, 58.37
305, 100, 17.48, 57.24
310, 100, 17.39, 57.56
316, 100, 16.92, 59.12
322, 100, 17.33, 57.74
328, 100, 17.63, 56.75
333, 100, 17.82, 56.12
339, 100, 17.33, 57.76
345, 100, 17.30, 57.81
351, 100, 17.66, 56.61
357, 100, 17.06, 58.69
362, 100, 17.73, 56.43
368, 100, 17.42, 57.46
374, 100, 17.09, 58.57
380, 100, 17.33, 57.71
385, 100, 17.48, 57.25
391, 100, 17.39, 57.55
397, 100, 17.33, 57.71
403, 100, 16.72, 59.89
409, 100, 16.66, 60.02
415, 100, 17.39, 57.54
421, 100, 16.80, 59.53
426, 100, 17.63, 56.77
432, 100, 17.24, 58.05
438, 100, 17.54, 57.09
444, 100, 17.12, 58.49
450, 100, 17.36, 57.69
455, 100, 17.51, 57.17
461, 100, 16.92, 59.12
467, 100, 17.12, 58.41
473, 100, 17.15, 58.32
479, 100, 17.39, 57.56
484, 100, 17.09, 58.56
490, 100, 17.24, 58.03
496, 100, 17.18, 58.23
502, 100, 16.89, 59.28
508, 100, 17.36, 57.68
514, 100, 17.33, 57.77
520, 100, 17.06, 58.61
525, 100, 17.45, 57.30
531, 100, 17.48, 57.29
537, 100, 17.24, 58.07
543, 100, 16.58, 60.39
549, 100, 17.30, 57.84
554, 100, 17.24, 58.02
560, 100, 17.39, 57.58
566, 100, 16.83, 59.42
572, 100, 16.94, 59.09
578, 100, 17.00, 58.83
584, 100, 16.63, 60.18
590, 100, 16.97, 58.91
595, 100, 18.08, 55.31
601, 100, 17.03, 58.70
607, 100, 17.63, 56.73
613, 100, 17.36, 57.62
