tx_num, duration
1001,2236
1002,2283
1003,2276
1004,2284
1005,2272
1006,2256
1007,2272
1008,2280
1009,2261
1010,2289
1011,2283
1012,2295
1013,2278
1014,2284
1015,2273
1016,2278
1017,2282
1018,2267
1019,2283
1020,2264
1021,2279
1022,2278
1023,2296
1024,2270
1025,2284
1026,2289
1027,2259
1028,2274
1029,2293
1030,2265
1031,2286
1032,2276
1033,2302
1034,2278
1035,2286
1036,2281
1037,2278
1038,2274
1039,2281
1040,2284
1041,2281
1042,2286
1043,2238
1044,2294
1045,2294
1046,2253
1047,2273
1048,2249
1049,2289
1050,2278
1051,2292
1052,2272
1053,2275
1054,2279
1055,2240
1056,2287
1057,2283
1058,2273
1059,2279
1060,2286
1061,2272
1062,2272
1063,2288
1064,2287
1065,2255
1066,2295
1067,2296
1068,2275
1069,2285
1070,2276
1071,2289
1072,2280
1073,2296
1074,2282
1075,2282
1076,2283
1077,2296
1078,2283
1079,2291
1080,2234
1081,2296
1082,2282
1083,2280
1084,2291
1085,2290
1086,2273
1087,2233
1088,2289
1089,2244
1090,2278
1091,2284
1092,2284
1093,2249
1094,2279
1095,2287
1096,2286
1097,2247
1098,2237
1099,2245
1100,2240
1101,2303
1102,2243
1103,2284
1104,2294
1105,2281
1106,2282
1107,2238
1108,2276
1109,2240
1110,2290
1111,2245
1112,2288
1113,2283
1114,2266
1115,2287
1116,2271
1117,2289
1118,2241
1119,2241
1120,2245
1121,2245
1122,2289
1123,2279
1124,2273
1125,2268
1126,2247
1127,2275
1128,2275
1129,2247
1130,2253
1131,2242
1132,2233
1133,2272
1134,2274
1135,2289
1136,2286
1137,2274
1138,2283
1139,2234
1140,2283
1141,2288
1142,2285
1143,2252
1144,2285
1145,2272
1146,2292
1147,2302
1148,2291
1149,2273
1150,2253
1151,2272
1152,2294
1153,2282
1154,2278
1155,2287
1156,2288
1157,2251
1158,2250
1159,2233
1160,2264
1161,2256
1162,2250
1163,2241
1164,2252
1165,2286
1166,2304
1167,2293
1168,2256
1169,2251
1170,2301
1171,2247
1172,2250
1173,2241
1174,2278
1175,2290
1176,2288
1177,2233
1178,2271
1179,2284
1180,2249
1181,2281
1182,2286
1183,2297
1184,2292
1185,2234
1186,2294
1187,2285
1188,2287
1189,2277
1190,2285
1191,2292
1192,2254
1193,2253
1194,2246
1195,2250
1196,2279
1197,2268
1198,2295
1199,2287
1200,2279
1201,2271
1202,2254
1203,2254
1204,2289
1205,2283
1206,2276
1207,2281
1208,2285
1209,2262
1210,2301
1211,2260
1212,2244
1213,2247
1214,2295
1215,2290
1216,2284
1217,2284
1218,2293
1219,2285
1220,2245
1221,2257
1222,2250
1223,2282
1224,2282
1225,2288
1226,2237
1227,2237
1228,2296
1229,2236
1230,2231
1231,2279
1232,2282
1233,2281
1234,2281
1235,2285
1236,2238
1237,2254
1238,2253
1239,2226
1240,2289
1241,2287
1242,2293
1243,2275
1244,2288
1245,2252
1246,2242
1247,2292
1248,2277
1249,2276
1250,2289
1251,2274
1252,2250
1253,2288
1254,2245
1255,2293
1256,2286
1257,2278
1258,2300
1259,2282
1260,2285
1261,2299
1262,2277
1263,2258
1264,2295
1265,2291
1266,2287
1267,2281
1268,2290
1269,2284
1270,2248
1271,2257
1272,2245
1273,2289
1274,2299
1275,2288
1276,2280
1277,2278
1278,2241
1279,2242
1280,2253
1281,2283
1282,2279
1283,2268
1284,2274
1285,2294
1286,2243
1287,2274
1288,2248
1289,2275
1290,2287
1291,2289
1292,2291
1293,2245
1294,2297
1295,2262
1296,2275
1297,2255
1298,2277
1299,2288
1300,2283
1301,2242
1302,2293
1303,2239
1304,2280
1305,2292
1306,2288
1307,2284
1308,2295
1309,2241
1310,2289
1311,2272
1312,2278
1313,2286
1314,2264
1315,2249
1316,2300
1317,2296
1318,2284
1319,2304
1320,2245
1321,2295
1322,2237
1323,2298
1324,2301
1325,2289
1326,2294
1327,2244
1328,2232
1329,2244
1330,2279
1331,2296
1332,2273
1333,2237
1334,2240
1335,2245
1336,2239
1337,2298
1338,2277
1339,2302
1340,2293
1341,2258
1342,2244
1343,2284
1344,2286
1345,2248
1346,2236
1347,2245
1348,2249
1349,2284
1350,2245
1351,2297
1352,2259
1353,2244
1354,2267
1355,2287
1356,2276
1357,2293
1358,2241
1359,2251
1360,2252
1361,2295
1362,2245
1363,2289
1364,2278
1365,2248
1366,2248
1367,2258
1368,2288
1369,2266
1370,2294
1371,2295
1372,2282
1373,2258
1374,2240
1375,2299
1376,2281
1377,2289
1378,2293
1379,2239
1380,2252
1381,2258
1382,2277
1383,2292
1384,2292
1385,2290
1386,2244
1387,2250
1388,2285
1389,2301
1390,2277
1391,2270
1392,2293
1393,2238
1394,2290
1395,2249
1396,2284
1397,2289
1398,2244
1399,2244
1400,2280
1401,2275
1402,2294
1403,2248
1404,2244
1405,2235
1406,2284
1407,2287
1408,2295
1409,2274
1410,2243
1411,2266
1412,2235
1413,2248
1414,2273
1415,2279
1416,2285
1417,2242
1418,2300
1419,2280
1420,2276
1421,2275
1422,2240
1423,2253
1424,2285
1425,2285
1426,2281
1427,2278
1428,2256
1429,2288
1430,2246
1431,2238
1432,2279
1433,2270
1434,2294
1435,2240
1436,2290
1437,2255
1438,2291
1439,2278
1440,2273
1441,2291
1442,2280
1443,2247
1444,2276
1445,2245
1446,2299
1447,2283
1448,2277
1449,2278
1450,2282
1451,2266
1452,2279
1453,2285
1454,2286
1455,2280
1456,2289
1457,2264
1458,2280
1459,2275
1460,2285
1461,2275
1462,2290
1463,2288
1464,2289
1465,2289
1466,2273
1467,2276
1468,2295
1469,2280
1470,2279
1471,2274
1472,2283
1473,2254
1474,2262
1475,2293
1476,2281
1477,2289
1478,2251
1479,2298
1480,2247
1481,2287
1482,2285
1483,2282
1484,2293
1485,2267
1486,2264
1487,2283
1488,2272
1489,2278
1490,2293
1491,2278
1492,2279
1493,2291
1494,2293
1495,2283
1496,2277
1497,2271
1498,2285
1499,2269
1500,2240
1501,2250
1502,2277
1503,2286
1504,2277
1505,2268
1506,2247
1507,2239
1508,2290
1509,2285
1510,2279
1511,2287
1512,2248
1513,2247
1514,2282
1515,2287
1516,2286
1517,2288
1518,2251
1519,2244
1520,2250
1521,2283
1522,2273
1523,2254
1524,2250
1525,2287
1526,2269
1527,2282
1528,2287
1529,2301
1530,2244
1531,2236
1532,2282
1533,2292
1534,2279
1535,2268
1536,2247
1537,2290
1538,2281
1539,2285
1540,2285
1541,2255
1542,2238
1543,2277
1544,2282
1545,2254
1546,2287
1547,2257
1548,2245
1549,2282
1550,2291
1551,2287
1552,2240
1553,2245
1554,2289
1555,2290
1556,2277
1557,2268
1558,2250
1559,2247
1560,2292
1561,2290
1562,2241
1563,2287
1564,2253
1565,2237
1566,2277
1567,2268
1568,2269
1569,2288
1570,2244
1571,2295
1572,2277
1573,2280
1574,2283
1575,2249
1576,2284
1577,2278
1578,2282
1579,2240
1580,2281
1581,2276
1582,2279
1583,2286
1584,2239
1585,2290
1586,2280
1587,2267
1588,2268
1589,2296
1590,2263
1591,2290
1592,2249
1593,2243
1594,2268
1595,2294
1596,2245
1597,2297
1598,2292
1599,2285
1600,2278
1601,2278
1602,2294
1603,2276
1604,2293
1605,2277
1606,2290
1607,2286
1608,2282
1609,2274
1610,2279
1611,2255
1612,2292
1613,2270
1614,2246
1615,2285
1616,2293
1617,2298
1618,2255
1619,2270
1620,2281
1621,2284
1622,2274
1623,2294
1624,2275
