time,transactions,batch_throughput_TPS,avg_tx_duration_ms
4, 100, 25.12, 39.85
8, 100, 25.70, 38.98
12, 100, 26.04, 38.40
15, 100, 25.51, 39.20
19, 100, 25.51, 39.25
23, 100, 26.17, 38.22
27, 100, 26.52, 37.73
31, 100, 25.31, 39.50
35, 100, 26.45, 37.85
39, 100, 24.75, 40.42
43, 100, 25.97, 38.56
47, 100, 24.15, 41.48
51, 100, 22.37, 44.71
56, 100, 23.52, 42.55
60, 100, 25.57, 39.11
63, 100, 26.38, 37.96
67, 100, 25.97, 38.51
71, 100, 25.77, 38.85
75, 100, 26.17, 38.25
79, 100, 26.59, 37.60
82, 100, 26.31, 38.08
86, 100, 26.38, 37.94
90, 100, 25.38, 39.41
94, 100, 25.70, 38.98
98, 100, 26.31, 38.06
102, 100, 25.31, 39.55
106, 100, 26.10, 38.32
110, 100, 26.24, 38.15
113, 100, 25.51, 39.27
117, 100, 26.38, 37.95
121, 100, 25.83, 38.75
126, 100, 22.93, 43.62
130, 100, 21.14, 47.33
135, 100, 22.93, 43.61
138, 100, 26.66, 37.56
142, 100, 25.51, 39.26
146, 100, 25.90, 38.66
150, 100, 26.04, 38.44
154, 100, 25.97, 38.57
158, 100, 25.97, 38.54
162, 100, 26.04, 38.41
165, 100, 26.17, 38.21
169, 100, 25.44, 39.39
174, 100, 20.96, 47.75
178, 100, 26.17, 38.24
182, 100, 26.38, 37.97
186, 100, 25.77, 38.80
190, 100, 26.04, 38.47
193, 100, 26.04, 38.46
197, 100, 26.10, 38.36
201, 100, 25.70, 38.90
205, 100, 25.77, 38.88
209, 100, 26.38, 37.95
213, 100, 26.66, 37.56
217, 100, 25.57, 39.14
220, 100, 25.83, 38.77
224, 100, 26.10, 38.33
228, 100, 25.97, 38.51
232, 100, 25.25, 39.64
236, 100, 25.57, 39.12
240, 100, 25.83, 38.79
244, 100, 25.77, 38.82
248, 100, 21.45, 46.63
253, 100, 21.88, 45.79
257, 100, 25.12, 39.84
261, 100, 26.04, 38.49
265, 100, 26.04, 38.47
269, 100, 26.45, 37.80
272, 100, 26.24, 38.11
276, 100, 25.64, 39.03
280, 100, 26.52, 37.74
284, 100, 25.90, 38.67
288, 100, 25.83, 38.78
292, 100, 26.17, 38.22
296, 100, 25.51, 39.20
299, 100, 26.45, 37.84
303, 100, 26.04, 38.49
307, 100, 25.31, 39.56
311, 100, 25.57, 39.18
315, 100, 26.45, 37.81
319, 100, 26.31, 38.08
322, 100, 26.52, 37.78
326, 100, 26.24, 38.19
330, 100, 25.77, 38.86
334, 100, 26.17, 38.25
338, 100, 25.77, 38.80
342, 100, 26.45, 37.86
346, 100, 25.90, 38.64
349, 100, 26.17, 38.21
353, 100, 25.83, 38.78
357, 100, 25.77, 38.84
361, 100, 24.93, 40.17
366, 100, 21.05, 47.51
371, 100, 21.73, 46.07
374, 100, 25.64, 39.06
378, 100, 26.88, 37.28
382, 100, 25.51, 39.24
386, 100, 26.73, 37.41
390, 100, 26.59, 37.62
394, 100, 25.83, 38.79
397, 100, 26.31, 38.00
401, 100, 25.97, 38.57
405, 100, 26.38, 37.94
409, 100, 25.64, 39.05
413, 100, 26.31, 38.07
417, 100, 26.31, 38.04
421, 100, 25.25, 39.68
424, 100, 25.51, 39.21
428, 100, 25.70, 38.94
432, 100, 25.77, 38.86
436, 100, 25.64, 39.05
440, 100, 25.57, 39.14
444, 100, 26.38, 37.91
448, 100, 26.17, 38.23
452, 100, 26.17, 38.27
455, 100, 26.17, 38.24
