time,transactions,batch_throughput_TPS,avg_tx_duration_ms
3, 100, 32.15, 31.15
6, 100, 31.84, 31.45
9, 100, 31.54, 31.78
12, 100, 31.84, 31.46
16, 100, 32.15, 31.10
19, 100, 31.34, 31.94
22, 100, 31.74, 31.59
25, 100, 31.84, 31.44
28, 100, 32.46, 30.81
31, 100, 31.84, 31.48
35, 100, 30.39, 32.95
38, 100, 31.05, 32.20
41, 100, 31.34, 31.93
44, 100, 31.15, 32.16
47, 100, 31.44, 31.83
51, 100, 31.54, 31.71
54, 100, 30.76, 32.56
57, 100, 31.74, 31.53
60, 100, 31.74, 31.50
63, 100, 31.05, 32.23
67, 100, 31.84, 31.48
70, 100, 31.15, 32.14
73, 100, 31.44, 31.82
76, 100, 31.54, 31.77
79, 100, 30.67, 32.63
83, 100, 31.15, 32.18
86, 100, 31.94, 31.39
89, 100, 31.05, 32.24
92, 100, 32.25, 31.07
95, 100, 30.95, 32.33
99, 100, 31.15, 32.12
102, 100, 31.74, 31.50
105, 100, 31.05, 32.20
108, 100, 31.15, 32.16
111, 100, 31.44, 31.82
115, 100, 30.86, 32.48
118, 100, 31.64, 31.65
121, 100, 31.74, 31.55
124, 100, 31.15, 32.14
127, 100, 31.34, 31.98
131, 100, 30.95, 32.39
134, 100, 31.25, 32.04
137, 100, 31.84, 31.42
140, 100, 31.64, 31.67
143, 100, 31.44, 31.81
147, 100, 31.74, 31.55
150, 100, 31.15, 32.14
153, 100, 31.44, 31.80
156, 100, 31.64, 31.60
159, 100, 30.67, 32.60
163, 100, 31.44, 31.88
166, 100, 31.74, 31.58
169, 100, 31.15, 32.15
172, 100, 31.94, 31.33
175, 100, 31.64, 31.68
179, 100, 30.48, 32.89
182, 100, 31.74, 31.55
185, 100, 31.64, 31.68
188, 100, 30.86, 32.45
191, 100, 30.95, 32.35
195, 100, 31.44, 31.83
198, 100, 31.25, 32.01
201, 100, 31.74, 31.59
204, 100, 31.25, 32.09
207, 100, 31.54, 31.72
211, 100, 31.54, 31.76
214, 100, 30.76, 32.56
217, 100, 31.54, 31.79
220, 100, 32.05, 31.20
223, 100, 30.95, 32.31
227, 100, 31.74, 31.52
230, 100, 29.85, 33.54
233, 100, 31.25, 32.06
236, 100, 31.74, 31.59
240, 100, 31.15, 32.12
243, 100, 31.64, 31.69
246, 100, 32.15, 31.13
249, 100, 30.58, 32.79
252, 100, 31.74, 31.58
255, 100, 31.44, 31.81
259, 100, 30.48, 32.88
262, 100, 31.34, 31.92
265, 100, 31.25, 32.06
268, 100, 31.25, 32.03
272, 100, 31.64, 31.65
275, 100, 31.05, 32.26
278, 100, 31.74, 31.59
281, 100, 31.15, 32.12
285, 100, 29.76, 33.61
288, 100, 31.15, 32.11
291, 100, 31.15, 32.17
294, 100, 30.67, 32.68
297, 100, 31.15, 32.15
