time,transactions,batch_throughput_TPS,avg_tx_duration_ms
4, 100, 24.50, 40.83
8, 100, 24.87, 40.23
13, 100, 24.15, 41.49
17, 100, 24.39, 41.05
21, 100, 24.39, 41.04
25, 100, 24.39, 41.06
29, 100, 24.21, 41.39
33, 100, 24.15, 41.44
37, 100, 24.27, 41.23
41, 100, 24.44, 40.94
46, 100, 24.21, 41.35
50, 100, 24.21, 41.32
54, 100, 24.75, 40.48
58, 100, 24.09, 41.50
62, 100, 24.44, 40.93
66, 100, 24.57, 40.79
70, 100, 23.92, 41.86
75, 100, 24.27, 41.29
79, 100, 24.44, 40.92
83, 100, 24.09, 41.55
87, 100, 24.15, 41.48
91, 100, 24.33, 41.18
95, 100, 24.50, 40.85
99, 100, 24.21, 41.32
103, 100, 23.98, 41.77
108, 100, 24.44, 40.98
112, 100, 24.39, 41.09
116, 100, 24.57, 40.75
120, 100, 24.27, 41.23
124, 100, 24.39, 41.02
128, 100, 23.92, 41.83
132, 100, 24.27, 41.26
137, 100, 24.09, 41.55
141, 100, 24.15, 41.48
145, 100, 24.15, 41.43
149, 100, 24.63, 40.62
153, 100, 24.44, 40.95
157, 100, 24.15, 41.43
161, 100, 24.39, 41.06
165, 100, 24.39, 41.09
170, 100, 24.09, 41.56
174, 100, 24.15, 41.45
178, 100, 23.92, 41.80
182, 100, 24.27, 41.20
186, 100, 24.21, 41.32
190, 100, 24.09, 41.50
194, 100, 24.03, 41.67
199, 100, 24.27, 41.27
203, 100, 24.50, 40.83
207, 100, 24.33, 41.14
211, 100, 24.39, 41.06
215, 100, 24.44, 40.98
219, 100, 24.21, 41.30
223, 100, 23.92, 41.82
227, 100, 24.50, 40.89
232, 100, 24.44, 40.93
236, 100, 24.69, 40.59
240, 100, 23.98, 41.77
244, 100, 24.09, 41.55
248, 100, 23.92, 41.86
252, 100, 24.15, 41.44
256, 100, 24.44, 40.93
261, 100, 24.21, 41.38
265, 100, 24.27, 41.20
269, 100, 24.15, 41.40
273, 100, 24.33, 41.16
277, 100, 24.50, 40.89
281, 100, 23.98, 41.75
285, 100, 23.98, 41.77
289, 100, 24.63, 40.68
294, 100, 24.27, 41.26
298, 100, 24.50, 40.89
302, 100, 24.27, 41.21
306, 100, 25.00, 40.06
310, 100, 23.92, 41.87
314, 100, 24.09, 41.54
318, 100, 23.98, 41.72
323, 100, 24.15, 41.42
327, 100, 24.57, 40.79
331, 100, 24.27, 41.25
