Transaction Number,Success (0=success),Latency (ms),CPU Utilization (%),Timestamp
2122,success,416.614477000,31,2025-01-13 12:22:28
2123,success,386.418650000,47,2025-01-13 12:22:29
2124,success,327.543262000,20,2025-01-13 12:22:29
2125,success,305.357512000,14,2025-01-13 12:22:30
2126,success,290.012628000,34,2025-01-13 12:22:30
2127,success,322.904838000,15,2025-01-13 12:22:31
2128,success,303.390839000,16,2025-01-13 12:22:31
2129,success,291.512592000,16,2025-01-13 12:22:32
2130,success,380.399286000,23,2025-01-13 12:22:32
2131,success,323.803901000,21,2025-01-13 12:22:33
2132,success,293.269489000,15,2025-01-13 12:22:33
2133,success,292.059484000,17,2025-01-13 12:22:34
2134,success,343.496170000,29,2025-01-13 12:22:34
2135,success,308.816363000,47,2025-01-13 12:22:35
2136,success,330.801961000,40,2025-01-13 12:22:36
2137,success,303.267854000,29,2025-01-13 12:22:36
2138,success,368.020691000,25,2025-01-13 12:22:37
2139,success,346.622783000,30,2025-01-13 12:22:37
2140,success,344.109215000,35,2025-01-13 12:22:38
2141,success,362.985415000,35,2025-01-13 12:22:38
2142,success,301.206522000,58,2025-01-13 12:22:39
2143,success,322.120604000,26,2025-01-13 12:22:39
2144,success,284.209134000,38,2025-01-13 12:22:40
2145,success,287.608491000,20,2025-01-13 12:22:40
2146,success,290.638618000,33,2025-01-13 12:22:41
2147,success,297.616819000,16,2025-01-13 12:22:41
2148,success,301.034910000,20,2025-01-13 12:22:42
2149,success,305.720792000,47,2025-01-13 12:22:42
2150,success,330.604768000,40,2025-01-13 12:22:43
2151,success,394.458986000,51,2025-01-13 12:22:44
2152,success,329.215001000,21,2025-01-13 12:22:44
2153,success,310.574158000,14,2025-01-13 12:22:45
2154,success,295.703239000,10,2025-01-13 12:22:45
2155,success,383.416272000,20,2025-01-13 12:22:46
2156,success,289.108712000,15,2025-01-13 12:22:46
2157,success,313.651892000,18,2025-01-13 12:22:47
2158,success,365.392071000,31,2025-01-13 12:22:47
2159,success,364.587211000,41,2025-01-13 12:22:48
2160,success,307.456654000,41,2025-01-13 12:22:48
2161,success,314.352109000,23,2025-01-13 12:22:49
2162,success,297.275929000,19,2025-01-13 12:22:49
2163,success,341.105640000,17,2025-01-13 12:22:50
2164,success,297.968978000,17,2025-01-13 12:22:51
2165,success,298.476922000,15,2025-01-13 12:22:51
2166,success,315.730910000,20,2025-01-13 12:22:52
2167,success,296.842138000,30,2025-01-13 12:22:52
2168,success,317.925425000,19,2025-01-13 12:22:53
2169,success,304.592646000,14,2025-01-13 12:22:53
2170,success,301.081754000,14,2025-01-13 12:22:54
2171,success,301.877519000,16,2025-01-13 12:22:54
2172,success,360.108071000,46,2025-01-13 12:22:55
2173,success,312.904376000,26,2025-01-13 12:22:55
2174,success,311.303744000,29,2025-01-13 12:22:56
2175,success,295.879312000,30,2025-01-13 12:22:56
2176,success,379.950142000,17,2025-01-13 12:22:57
2177,success,307.608055000,16,2025-01-13 12:22:57
2178,success,288.030223000,13,2025-01-13 12:22:58
2179,success,310.904706000,21,2025-01-13 12:22:58
2180,success,310.808331000,31,2025-01-13 12:22:59
2181,success,330.274283000,23,2025-01-13 12:22:59
2182,success,375.813997000,31,2025-01-13 12:23:00
2183,success,319.179583000,17,2025-01-13 12:23:00
