Transaction Number,Latency (ms)
10,211
11,172
12,175
13,293
14,203
15,178
16,178
17,204
18,199
19,188
20,277
21,215
22,255
23,266
24,221
25,245
26,200
27,187
28,216
29,308
30,153
31,197
32,173
33,203
34,198
35,225
36,253
37,253
38,210
39,279
40,181
41,184
42,227
43,311
44,287
45,240
46,244
47,182
48,318
49,217
50,281
