tx_num, duration
2001,2591
2002,2884
2003,2853
2004,3110
2005,3012
2006,2855
2007,2956
2008,3004
2009,2949
2010,2555
2011,2647
2012,2426
2013,2634
2014,2701
2015,2758
2016,2530
2017,2542
2018,2487
2019,2537
2020,2660
2021,2687
2022,2844
2023,2433
2024,2584
2025,2546
2026,2750
2027,2487
2028,2552
2029,2485
2030,2451
2031,2562
2032,2532
2033,2659
2034,2762
2035,2702
2036,2752
2037,2595
2038,2519
2039,2599
2040,2613
2041,2555
2042,2545
2043,2616
2044,2866
2045,2494
2046,2596
2047,3145
2048,3611
2049,2511
2050,2641
2051,2596
2052,2520
2053,2565
2054,2428
2055,2763
2056,2498
2057,2454
2058,2891
2059,2934
2060,3342
2061,2733
2062,2641
2063,2825
2064,2733
2065,2853
2066,2924
2067,3084
2068,2976
2069,2827
2070,2534
2071,2877
2072,2703
2073,2938
2074,2944
2075,2934
2076,2491
2077,2500
2078,3021
2079,2756
2080,2461
2081,2702
2082,2432
2083,2540
2084,2642
2085,2532
2086,2643
2087,2587
2088,2646
2089,2742
2090,2595
2091,3066
2092,2861
2093,2553
2094,2518
2095,2659
2096,2499
2097,2598
2098,2579
2099,2544
2100,2809
2101,2692
2102,2808
2103,2797
2104,2697
2105,2730
2106,2718
2107,2654
2108,2753
2109,2568
2110,3264
2111,2596
2112,2485
2113,2522
2114,2717
2115,2692
2116,2708
2117,3101
2118,2973
2119,3135
2120,3486
2121,3226
2122,2812
2123,3168
2124,3480
2125,2975
2126,2804
2127,2674
2128,2690
2129,2656
2130,2728
2131,2787
2132,2468
2133,2611
2134,2582
2135,2520
2136,2831
2137,2666
2138,2466
2139,2712
2140,2586
2141,2627
2142,2886
2143,3081
2144,2854
2145,3296
2146,3244
2147,2891
2148,3207
2149,4052
2150,2781
2151,3379
2152,2749
2153,2728
2154,2902
2155,2568
2156,2618
2157,3106
2158,2767
2159,2781
2160,3117
2161,2788
2162,2983
2163,2750
2164,3298
2165,3259
2166,2766
2167,2663
2168,3115
2169,4859
2170,4813
2171,3021
2172,2643
2173,2536
2174,2864
2175,2759
2176,2567
2177,2733
2178,2673
2179,2623
2180,2557
2181,2490
2182,2698
2183,2747
2184,2452
2185,2720
2186,2601
2187,2525
2188,2949
2189,2985
2190,2554
2191,2910
2192,2523
2193,2826
2194,3206
2195,2920
2196,2453
2197,2659
2198,3047
2199,2898
2200,2824
2201,3004
Total number of transactions = 200
average latency = 2796 ms
Total latency = 559311 ms
